lead_id,age,country,source,pages_viewed,ad_spent,converted
1,25,US,organic,5,0.0,1
2,34,UK,ad,3,10.5,0
3,29,US,referral,2,0.0,1
4,45,DE,email,8,20.0,0
5,31,CA,organic,6,0.0,1
6,38,US,ad,4,12.0,1
7,27,UK,referral,1,0.0,0
8,42,DE,organic,7,0.0,0
9,23,CA,email,5,15.0,1
10,36,US,organic,4,0.0,1
11,40,UK,ad,2,9.0,0
12,30,DE,referral,3,0.0,0
13,28,CA,email,6,18.0,1
14,33,US,organic,5,0.0,1
15,37,UK,organic,7,0.0,0
16,26,DE,ad,4,11.0,0
17,32,CA,referral,2,0.0,1
18,24,US,email,5,13.0,1
19,41,UK,email,6,17.0,0
20,39,DE,organic,3,0.0,1
